urut      idcoa                    nmcoa                                                  induk                    level     groupcoa                                               
106       117303                   U M LC  SKBDN                                          1173                     5         AKTIVA                                                 
107       117304                   U M PEMBELIAN FIXED ASSETS                             1173                     5         AKTIVA                                                 
108       118                      BIAYA DIBAYAR DIMUKA                                   11                       3         AKTIVA                                                 
109       1181                     BY BYR DIMUKA                                          118                      4         AKTIVA                                                 
110       118101                   BIAYA BYR DIMUKA - ASURANSI KEBAKARAN                  1181                     5         AKTIVA                                                 
111       118102                   BIAYA DIBAYAR DIMUKA - BUNGA                           1181                     5         AKTIVA                                                 
112       118103                   BIAYA DIBAYAR DIMUKA - IMPORT                          1181                     5         AKTIVA                                                 
113       118104                   BIAYA DIBAYAR DIMUKA - SEWA                            1181                     5         AKTIVA                                                 
114       118105                   PREMI ASURANSI CAR                                     1181                     5         AKTIVA                                                 
115       118106                   BIAYA DIBAYAR DIMUKA-PROVISI BANK                      1181                     5         AKTIVA                                                 
116       118107                   BIAYA DIBAYAR DIMUKA- LAIN2                            1181                     5         AKTIVA                                                 
117       118108                   BIAYA DIBAYAR DIMUKA - BUNGA MS PAVING                 1181                     5         AKTIVA                                                 
118       118109                   BIAYA DIBAYAR DIMUKA - ASURANSI KENDARAAN              1181                     5         AKTIVA                                                 
119       118110                   BIAYA DIBAYAR DIMUKA - BUNGA SIEMENS                   1181                     5         AKTIVA                                                 
120       118111                   BIAYA DIBAYAR DIMUKA - BUNGA KENDARAAN                 1181                     5         AKTIVA                                                 
121       118112                   BIAYA DIBAYAR DIMUKA - RECOVERY CCM                    1181                     5         AKTIVA                                                 
122       119                      AKUN TRANSITORY                                        11                       3         AKTIVA                                                 
123       1191                     AKUN TRANSITORY                                        119                      4         AKTIVA                                                 
124       119101                   AKUN TRANSITORY                                        1191                     5         AKTIVA                                                 
125       12                       ASET TIDAK LANCAR                                      1                        2         AKTIVA                                                 
126       120                      TAKSIRAN PAJAK                                         12                       3         AKTIVA                                                 
127       1201                     TAKSIRAN PAJAK                                         120                      4         AKTIVA                                                 
128       120101                   TAKSIRAN PAJAK PENGHASILAN                             1201                     5         AKTIVA                                                 
129       121                      ASET LAIN - LAIN                                       12                       3         AKTIVA                                                 
130       121001                   ASET DERIVATIF                                         121                      4         AKTIVA                                                 
131       121002                   PROPERTI INVESTASI                                     121                      4         AKTIVA                                                 
132       13                       ASET TETAP                                             1                        2         AKTIVA                                                 
133       131                      ASET TETAP                                             13                       3         AKTIVA                                                 
134       1311                     ASET TETAP                                             131                      4         AKTIVA                                                 
135       131101                   TANAH                                                  1311                     5         AKTIVA                                                 
136       131102                   GEDUNG / BANGUNGAN                                     1311                     5         AKTIVA                                                 
137       131103                   PERALATAN KANTOR                                       1311                     5         AKTIVA                                                 
138       131104                   PERALATAN ANGKUTAN                                     1311                     5         AKTIVA                                                 
139       131105                   KENDARAAN                                              1311                     5         AKTIVA                                                 
140       131106                   PERALATAN LABORATORIUM                                 1311                     5         AKTIVA                                                 
141       131107                   TIMBANGAN ELEKTRONIK                                   1311                     5         AKTIVA                                                 
142       131108                   INSTALASI LISTRIK                                      1311                     5         AKTIVA                                                 
143       131109                   INSTALASI GAS                                          1311                     5         AKTIVA                                                 
144       131110                   MESIN-MESIN DAN PERLENGKAPAN                           1311                     5         AKTIVA                                                 
145       131111                   ASET TETAP KAPITALISASI                                1311                     5         AKTIVA                                                 
146       131112                   PERBAIKAN BANGUNAN                                     1311                     5         AKTIVA                                                 
147       131113                   RIGHT OF USE ASSETS                                    1311                     5         AKTIVA                                                 
148       1312                     AKUMULASI PENYUSUTAN                                   131                      4         AKTIVA                                                 
149       131201                   AKUM. PENY. - GEDUNG DAN FASILITAS                     1312                     5         AKTIVA                                                 
150       131202                   AKUM. PENY. - PERALATAN KANTOR                         1312                     5         AKTIVA                                                 
151       131203                   AKUM. PENY. - PERALATAN ANGKUTAN                       1312                     5         AKTIVA                                                 
152       131204                   AKUM. PENY. - KENDARAAN                                1312                     5         AKTIVA                                                 
153       131205                   AKUM. PENY.-PERALATAN LABORATORIUM                     1312                     5         AKTIVA                                                 
154       131206                   AKUM. PENY.-TIMBANGAN ELEKTRONIK                       1312                     5         AKTIVA                                                 
155       131207                   AKUM. PENY.-INSTALASI LISTRIK                          1312                     5         AKTIVA                                                 
156       131208                   AKUM. PENY.-INSTALASI GAS                              1312                     5         AKTIVA                                                 
157       131209                   AKUM. PENY.-MESIN DAN PERLENGKAPAN                     1312                     5         AKTIVA                                                 
158       131210                   AKUM. PENY. - KAPITALISASI                             1312                     5         AKTIVA                                                 
159       131211                   AKUM. PENY.- RIGHT OF USE ASSETS                       1312                     5         AKTIVA                                                 
160       132                      ASET DALAM PENGERJAAN                                  13                       3         AKTIVA                                                 
161       1321                     ASET DALAM PENGERJAAN                                  132                      4         AKTIVA                                                 
162       132101                   ASET DALAM PENGERJAAN                                  1321                     5         AKTIVA                                                 
163       133                      ASET HAK GUNA USAHA                                    13                       3         AKTIVA                                                 
164       1331                     ASET HAK GUNA USAHA                                    133                      4         AKTIVA                                                 
165       133101                   ASET HAK GUNA USAHA - MESIN                            1331                     5         AKTIVA                                                 
166       133102                   ASET HAK GUNA USAHA - KENDARAAN                        1331                     5         AKTIVA                                                 
167       134                      AKUMULASI PENYUSUTAN AKT HAK GUNA USAHA                13                       3         AKTIVA                                                 
168       1341                     AKUMULASI PENYUSUTAN AKT HAK GUNA                      134                      4         AKTIVA                                                 
169       134101                   AKUM.PENYUSUTAN ASET HAK GUNA USAHA-MESIN              1341                     5         AKTIVA                                                 
170       134102                   AKUM.PENYUSUTAN ASET HAK GUNA USAHA-KENDARAAN          1341                     5         AKTIVA                                                 
171       135                      ASET PAJAK TANGGUHAN                                   13                       3         AKTIVA                                                 
172       1351                     ASET PAJAK TANGGUHAN                                   135                      4         AKTIVA                                                 
173       135101                   ASET PAJAK TANGGUHAN                                   1351                     5         AKTIVA                                                 
174       139                      ASET LAIN                                              13                       3         AKTIVA                                                 
175       1391                     ASET LAIN                                              139                      4         AKTIVA                                                 
176       139101                   BIAYA SHGB                                             1391                     5         AKTIVA                                                 
177       139102                   UANG JAMINAN PLN                                       1391                     5         AKTIVA                                                 
178       139103                   UANG JAMINAN BANK                                      1391                     5         AKTIVA                                                 
179       139104                   BIAYA YG. DITANGGUHKAN                                 1391                     5         AKTIVA                                                 
180       139105                   BIAYA YANG DITANGGUHKAN                                1391                     5         AKTIVA                                                 
181       139106                   UANG JAMINAN GAS NEGARA                                1391                     5         AKTIVA                                                 
182       139107                   ASET TIDAK LANCAR LAINNYA                              1391                     5         AKTIVA                                                 
183       2                        KEWAJIBAN                                              NULL                     1         PASIVA                                                 
184       21                       KEWAJIBAN LANCAR                                       2                        2         PASIVA                                                 
185       211                      HUTANG GIRO                                            21                       3         PASIVA                                                 
186       2111                     HUTANG GIRO                                            211                      4         PASIVA                                                 
187       211101                   HUTANG GIRO                                            2111                     5         PASIVA                                                 
188       211102                   HUTANG TOLAKAN GIRO ALL BANK                           2111                     5         PASIVA                                                 
189       212                      HUTANG BANK  G                                         21                       3         PASIVA                                                 
190       2121                     HUTANG BANK  G                                         212                      4         PASIVA                                                 
191       212101                   HUTANG BANK BTMU  KMK                                  2121                     5         PASIVA                                                 
192       212102                   HUTANG BANK BTMU  L/C                                  2121                     5         PASIVA                                                 
193       212103                   HUTANG BANK BTMU  KIE                                  2121                     5         PASIVA                                                 
194       213                      HUTANG DAGANG                                          21                       3         PASIVA                                                 
195       2131                     HUTANG DAGANG DALAM NEGERI                             213                      4         PASIVA                                                 
196       213101                   HUTANG DAGANG DN-SCRAP                                 2131                     5         PASIVA                                                 
197       213102                   HUTANG DAGANG DN-BHN PENOLONG ET                       2131                     5         PASIVA                                                 
198       213103                   HUTANG DAGANG  PENAMPUNGAN                             2131                     5         PASIVA                                                 
199       2132                     HUTANG DAGANG LUAR NEGERI                              213                      4         PASIVA                                                 
200       213201                   HUTANG DAGANG LUAR NEGERI                              2132                     5         PASIVA                                                 
201       214                      HUTANG PAJAK                                           21                       3         PASIVA                                                 
202       2141                     HUTANG PPH                                             214                      4         PASIVA                                                 
203       214101                   HUTANG PPH -21                                         2141                     5         PASIVA                                                 
204       214102                   HUTANG PPH -21 JTS 2                                   2141                     5         PASIVA                                                 
205       214103                   HUTANG PPH-22                                          2141                     5         PASIVA                                                 
206       214104                   HUTANG PPH-22 JTS 2                                    2141                     5         PASIVA                                                 
207       214105                   HUTANG PPH-23                                          2141                     5         PASIVA                                                 
208       214106                   HUTANG PPH-23 JTS 2                                    2141                     5         PASIVA                                                 
209       214107                   HUTANG PPH-25/29                                       2141                     5         PASIVA                                                 
210       214108                   HUTANG SANGSI PAJAK                                    2141                     5         PASIVA                                                 
211       214109                   HUTANG PPH-PSL 4 AYT 2                                 2141                     5         PASIVA                                                 
212       214110                   HUTANG PPH-PSL 4 AYT 2 JTS 2                           2141                     5         PASIVA                                                 
213       214111                   HUTANG PPH-26                                          2141                     5         PASIVA                                                 
214       214112                   HUTANG PPH-26 JTS 2                                    2141                     5         PASIVA                                                 
215       214113                   HUTANG PPN                                             2141                     5         PASIVA                                                 
216       214114                   HUTANG PBB                                             2141                     5         PASIVA                                                 
217       214115                   CADANGAN PPH 22                                        2141                     5         PASIVA                                                 
218       214116                   HUTANG PPN YANG BELUM DIFAKTURKAN                      2141                     5         PASIVA                                                 
219       215                      HUTANG PIHAK -3                                        21                       3         PASIVA                                                 
220       2151                     HUTANG XXX                                             215                      4         PASIVA                                                 
221       215101                   UANG MUKA FOUNDRY                                      2151                     5         PASIVA                                                 
222       215102                   UANG MUKA BILLET                                       2151                     5         PASIVA                                                 
223       215103                   UANG MUKA LAIN-LAIN                                    2151                     5         PASIVA                                                 
224       216                      HUTANG LAIN                                            21                       3         PASIVA                                                 
225       2161                     HUTANG LAIN                                            216                      4         PASIVA                                                 
226       216101                   HUTANG LAIN                                            2161                     5         PASIVA                                                 
227       217                      BIAYA YANG MASIH HARUS DIBAYAR                         21                       3         PASIVA                                                 
228       2171                     BIAYA YANG MASIH HARUS DIBAYAR                         217                      4         PASIVA                                                 
229       217101                   HUTANG BIAYA GAJI                                      2171                     5         PASIVA                                                 
230       217102                   HUTANG BIAYA BUNGA SUNWELL                             2171                     5         PASIVA                                                 
231       217103                   HUTANG BIAYA BUNGA INDOPRIMA INVESTAMA                 2171                     5         PASIVA                                                 
232       217104                   HUTANG BIAYA BUNGA LC BTMU                             2171                     5         PASIVA                                                 
233       217105                   HUTANG BIAYA BUNGA PINJAMAN                            2171                     5         PASIVA                                                 
234       217106                   HUTANG BIAYA LISTRIK                                   2171                     5         PASIVA                                                 
235       217107                   HUTANG BIAYA GAS                                       2171                     5         PASIVA                                                 
236       217108                   HUTANG BIAYA IMPORT                                    2171                     5         PASIVA                                                 
237       217109                   HUTANG BEA MASUK                                       2171                     5         PASIVA                                                 
238       217110                   BIAYA YMH DIBAYAR  LAIN-LAIN                           2171                     5         PASIVA                                                 
239       217111                   HUTANG PREMI BESI TUA                                  2171                     5         PASIVA                                                 
240       217112                   HUTANG BIAYA BUNGA LC FINCO                            2171                     5         PASIVA                                                 
241       217113                   HUTANG BIAYA IMBALAN KERJA                             2171                     5         PASIVA                                                 
242       217114                   HUTANG BIAYA THR                                       2171                     5         PASIVA                                                 
243       217115                   HUTANG BIAYA IPO                                       2171                     5         PASIVA                                                 
244       217116                   HUTANG KEKURANGAN LISTRIK 2008                         2171                     5         PASIVA                                                 
245       217117                   HUTANG FEE EXPORT                                      2171                     5         PASIVA                                                 
246       217118                   HUTANG KOPERASI                                        2171                     5         PASIVA                                                 
247       217119                   HUTANG BIAYA TENAGA KERJA / OUTSOURCING                2171                     5         PASIVA                                                 
248       217120                   HUTANG MANAGEMENT FEE                                  2171                     5         PASIVA                                                 
